CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
0.0038498,0.10615,0.44415,1.0394,0.041412,1.3071,1.9224,1.8512,2.73E-09,0.078054,0.51968,0.86565,0.7981,0.058448,1.1327,1.3172,0.50329,3.49E-10
0.0040682,0.89898,0.25492,0.67572,0.0066096,0.74263,1.7179,1.7051,0.92,0.00017558,0.93373,1.1704,1.6232,0.030007,1.4834,1.0279,0.44417,0.00076976
0.027208,1.2339,1.8032,2.0373,0.17906,1.7142,2.6874,0.99385,2.6345,0.51714,1.016,0.84938,1.1022,0.12155,1.5672,1.5064,2.4472,0.80112
3.3635,2.1327,2.9612,0.58611,1.9835,1.2816,2.4709,4.4943,2.4792,3.4618,2.5109,2.2987,2.0794,2.3092,1.844,2.0396,4.3614,2.1172
5.0727,6.7795,2.9505,1.5897,0.74426,1.4296,1.6385,4.96,1.6519,2.9593,1.8177,6.083,5.0304,2.6429,1.5141,2.8458,6.4418,1.9129
9.4921,5.2679,4.8394,3.8492,7.1644,4.438,3.9281,6.6298,2.8995,7.4167,3.9854,3.858,4.0148,5.0808,3.8717,4.3096,7.4859,2.1791
16.009,4.2872,3.6137,4.2595,14.944,6.4288,7.0111,7.8184,3.7151,13.639,4.2985,4.9122,6.7125,4.3017,8.4351,4.4924,8.0307,5.9553
16.98,8.1956,6.4864,6.6202,11.884,12.319,8.0319,9.4418,4.0004,13.062,8.951,5.992,7.9407,6.2078,11.762,9.2302,8.4719,3.0305
7.7837,9.7633,8.898,8.136,13.311,9.5996,11.593,11.19,2.2614,12.997,7.8408,8.3014,7.9577,8.6757,8.5834,9.5844,12.218,1.5442
8.7697,10.954,9.881,12.396,8.7905,7.5329,7.6284,8.6402,2.2254,5.7405,6.9064,7.6384,9.4272,3.5232,10.488,9.8472,6.6888,1.7228
